Clase,Cantidad_TRAIN,Porcentaje_TRAIN,Cantidad_TEST,Porcentaje_TEST
EOSINOPHIL,2497,25.08,623,25.05
LYMPHOCYTE,2483,24.94,620,24.93
MONOCYTE,2478,24.89,620,24.93
NEUTROPHIL,2499,25.1,624,25.09
